cmi,idx,n_samples,n_dims_1,n_dims_2
-0.0035719043774106174,0,256,4090,6
-0.008924933965780646,0,512,4090,6
-0.01908619011062329,0,1024,4090,6
-0.03024070234254539,0,2048,4090,6
-0.044269769982645424,0,4096,4090,6
-0.009693706009630931,1,256,4090,6
-0.01242520613561604,1,512,4090,6
-0.02987162335794269,1,1024,4090,6
-0.03856601289897954,1,2048,4090,6
-0.0516822890096319,1,4096,4090,6
-0.0007793163445877216,2,256,4090,6
-0.008065100414083815,2,512,4090,6
-0.01925767338904294,2,1024,4090,6
-0.0313238863184232,2,2048,4090,6
-0.039295811018162374,2,4096,4090,6
-0.002132563762099693,3,256,4090,6
-0.010220113305927758,3,512,4090,6
-0.02179971885095644,3,1024,4090,6
-0.03261792911428829,3,2048,4090,6
-0.04280265356574686,3,4096,4090,6
-0.0011173997529920765,4,256,4090,6
-0.006865323119438216,4,512,4090,6
-0.022394577458959786,4,1024,4090,6
-0.03408547500777792,4,2048,4090,6
-0.039515996513757146,4,4096,4090,6
-0.0006994665959167978,5,256,4090,6
-0.00884224114836707,5,512,4090,6
-0.01777684908914945,5,1024,4090,6
-0.03384231910283009,5,2048,4090,6
-0.04356782154691918,5,4096,4090,6
-0.0019396637364621494,6,256,4090,6
-0.006913291789796383,6,512,4090,6
-0.02185477392780777,6,1024,4090,6
-0.041195410769553575,6,2048,4090,6
-0.049258609356824024,6,4096,4090,6
-0.0006893797514192501,7,256,4090,6
-0.01391277508704003,7,512,4090,6
-0.01607491653286719,7,1024,4090,6
-0.03107857727497465,7,2048,4090,6
-0.04202443637468933,7,4096,4090,6
-0.001312642571325462,8,256,4090,6
-0.015566967502788298,8,512,4090,6
-0.021024616226668735,8,1024,4090,6
-0.03787895523717011,8,2048,4090,6
-0.04947826239869135,8,4096,4090,6
-0.010438873392871417,9,256,4090,6
-0.016997248676643206,9,512,4090,6
-0.022134788875503908,9,1024,4090,6
-0.03999388378648783,9,2048,4090,6
-0.052293645006938005,9,4096,4090,6
-0.0029357755214763914,10,256,4090,6
-0.015281331232072537,10,512,4090,6
-0.021913196357270404,10,1024,4090,6
-0.029787617450318993,10,2048,4090,6
-0.04621116165084094,10,4096,4090,6
-0.004055432135219306,11,256,4090,6
-0.010827938460453046,11,512,4090,6
-0.020455123622936444,11,1024,4090,6
-0.03299531216468776,11,2048,4090,6
-0.047026163084702866,11,4096,4090,6
-0.0027588525661145225,12,256,4090,6
-0.010433852744301753,12,512,4090,6
-0.018481543836886827,12,1024,4090,6
-0.03717394834974341,12,2048,4090,6
-0.04470040761295768,12,4096,4090,6
-0.004110284393477159,13,256,4090,6
-0.007536217683253743,13,512,4090,6
-0.0211111203346126,13,1024,4090,6
-0.040866507184912804,13,2048,4090,6
-0.04473274510593361,13,4096,4090,6
-0.0011059792798483459,14,256,4090,6
-0.011544375018076258,14,512,4090,6
-0.021745724731739302,14,1024,4090,6
-0.02831993191371296,14,2048,4090,6
-0.03962167212320644,14,4096,4090,6
-0.0039041555058854094,15,256,4090,6
-0.010684582643198604,15,512,4090,6
-0.025813545689752138,15,1024,4090,6
-0.027150727470704017,15,2048,4090,6
-0.03926340979128029,15,4096,4090,6
-0.0012490404403330269,16,256,4090,6
-0.01599871648276241,16,512,4090,6
-0.02588163747110983,16,1024,4090,6
-0.035966203441579414,16,2048,4090,6
-0.05035036078436017,16,4096,4090,6
-0.0032186105573850377,17,256,4090,6
-0.011429527114617644,17,512,4090,6
-0.03410187792277197,17,1024,4090,6
-0.03749827109254711,17,2048,4090,6
-0.058080650461166616,17,4096,4090,6
-0.004323259217356545,18,256,4090,6
-0.008471245476090239,18,512,4090,6
-0.03556763019543574,18,1024,4090,6
-0.04932693699648505,18,2048,4090,6
-0.055317243520912385,18,4096,4090,6
-0.0007359128903544621,19,256,4090,6
-0.012063287108234788,19,512,4090,6
-0.014295050141584054,19,1024,4090,6
-0.04083955784364879,19,2048,4090,6
-0.04727427858336619,19,4096,4090,6
-0.007643802576627778,20,256,4090,6
-0.005510439647284926,20,512,4090,6
-0.013954208700776682,20,1024,4090,6
-0.031421559247619024,20,2048,4090,6
-0.0436602288184208,20,4096,4090,6
-0.0038930052077168487,21,256,4090,6
-0.006762649458248671,21,512,4090,6
-0.015635300934967233,21,1024,4090,6
-0.031685925727048314,21,2048,4090,6
-0.04242360473026108,21,4096,4090,6
-0.0039959435845706714,22,256,4090,6
-0.020462394991176858,22,512,4090,6
-0.030216752026425375,22,1024,4090,6
-0.03639814716081391,22,2048,4090,6
-0.0512177170275665,22,4096,4090,6
-0.006257278474877115,23,256,4090,6
-0.010772766598898476,23,512,4090,6
-0.02983142123105098,23,1024,4090,6
-0.0371533739592701,23,2048,4090,6
-0.048922372658210866,23,4096,4090,6
-0.005071160198774072,24,256,4090,6
-0.00931811520114234,24,512,4090,6
-0.019800257091557194,24,1024,4090,6
-0.03682299541082634,24,2048,4090,6
-0.043779033382548294,24,4096,4090,6
-0.010288161780853677,25,256,4090,6
-0.01365862631681325,25,512,4090,6
-0.02050159556767961,25,1024,4090,6
-0.03432304239551598,25,2048,4090,6
-0.0490578069127523,25,4096,4090,6
-0.0008718648414000052,26,256,4090,6
-0.01298761453552122,26,512,4090,6
-0.01782652269420293,26,1024,4090,6
-0.035280072719710676,26,2048,4090,6
-0.04433075384020724,26,4096,4090,6
-0.00263237153585949,27,256,4090,6
-0.02275945653404199,27,512,4090,6
-0.013959899827727162,27,1024,4090,6
-0.0287551508241779,27,2048,4090,6
-0.040421570766458026,27,4096,4090,6
-0.002658418655214212,28,256,4090,6
-0.015314002954620265,28,512,4090,6
-0.020802579388570996,28,1024,4090,6
-0.029737779340983983,28,2048,4090,6
-0.04563707829933894,28,4096,4090,6
-0.0020239441058155228,29,256,4090,6
-0.013024790072481696,29,512,4090,6
-0.027219479500710908,29,1024,4090,6
-0.03193000265083856,29,2048,4090,6
-0.04637449222369572,29,4096,4090,6
-0.005851607222175703,30,256,4090,6
-0.014275975414251074,30,512,4090,6
-0.01562891177923198,30,1024,4090,6
-0.024570286931453134,30,2048,4090,6
-0.0430607423773266,30,4096,4090,6
-0.0093278911311665,31,256,4090,6
-0.010857635892786321,31,512,4090,6
-0.016845453278156564,31,1024,4090,6
-0.029578641811775608,31,2048,4090,6
-0.04738160869338126,31,4096,4090,6
-0.001687379996918592,32,256,4090,6
-0.0033019024197330493,32,512,4090,6
-0.018474000821108172,32,1024,4090,6
-0.028298566953930848,32,2048,4090,6
-0.04207520013460109,32,4096,4090,6
-0.0005324961358523783,33,256,4090,6
-0.017538917864869052,33,512,4090,6
-0.019116017590895762,33,1024,4090,6
-0.03795265411651483,33,2048,4090,6
-0.043240578955880626,33,4096,4090,6
-0.0005934127766935582,34,256,4090,6
-0.021685661587129368,34,512,4090,6
-0.022586072243129807,34,1024,4090,6
-0.03910658823800717,34,2048,4090,6
-0.050688724233265425,34,4096,4090,6
-0.0008074092331098459,35,256,4090,6
-0.019646442795859476,35,512,4090,6
-0.02313756821351398,35,1024,4090,6
-0.039154955659167934,35,2048,4090,6
-0.05291021115193839,35,4096,4090,6
-0.00656137798032419,36,256,4090,6
-0.014576288754171496,36,512,4090,6
-0.01903694243595888,36,1024,4090,6
-0.029960166960014467,36,2048,4090,6
-0.03911413568952149,36,4096,4090,6
-0.005879978364097149,37,256,4090,6
-0.011884711647286328,37,512,4090,6
-0.03266871979836372,37,1024,4090,6
-0.041116000434353595,37,2048,4090,6
-0.05278855212895672,37,4096,4090,6
-0.00641787148592865,38,256,4090,6
-0.01746554080392837,38,512,4090,6
-0.018295255182689263,38,1024,4090,6
-0.032729443771658984,38,2048,4090,6
-0.04708151989014042,38,4096,4090,6
-0.004212557954157425,39,256,4090,6
-0.022489937470696053,39,512,4090,6
-0.034602023801906134,39,1024,4090,6
-0.047298055493235736,39,2048,4090,6
-0.0592989059623622,39,4096,4090,6
-0.0011589639930715823,40,256,4090,6
-0.011042607270948634,40,512,4090,6
-0.022790312860267448,40,1024,4090,6
-0.03814875727697742,40,2048,4090,6
-0.050681633272638194,40,4096,4090,6
-0.0007192465921014302,41,256,4090,6
-0.0212526667266838,41,512,4090,6
-0.030085469016467026,41,1024,4090,6
-0.03294134709300833,41,2048,4090,6
-0.047922495202768256,41,4096,4090,6
-0.001141895072054977,42,256,4090,6
-0.021234415756019143,42,512,4090,6
-0.02942919736441063,42,1024,4090,6
-0.04177707539764297,42,2048,4090,6
-0.05267716537892486,42,4096,4090,6
-0.008295118224642906,43,256,4090,6
-0.014035014447842054,43,512,4090,6
-0.017839598133845058,43,1024,4090,6
-0.03692183376143343,43,2048,4090,6
-0.0473151035069892,43,4096,4090,6
-0.008636536789912053,44,256,4090,6
-0.008277989750644199,44,512,4090,6
-0.016631992521854322,44,1024,4090,6
-0.030516660133970586,44,2048,4090,6
-0.04511716457675752,44,4096,4090,6
-0.00856335274699127,45,256,4090,6
-0.0161219704629032,45,512,4090,6
-0.028235512201467472,45,1024,4090,6
-0.031454817599731566,45,2048,4090,6
-0.046941512003564334,45,4096,4090,6
-0.005347681443160002,46,256,4090,6
-0.007588108225537127,46,512,4090,6
-0.012672178004429102,46,1024,4090,6
-0.028677342711364462,46,2048,4090,6
-0.044319490553810126,46,4096,4090,6
-0.001169793124318974,47,256,4090,6
-0.014289793086148417,47,512,4090,6
-0.01598623434194113,47,1024,4090,6
-0.034160290821305894,47,2048,4090,6
-0.0462470713835994,47,4096,4090,6
-0.0029242653824511633,48,256,4090,6
-0.008406814221595837,48,512,4090,6
-0.024460165460366445,48,1024,4090,6
-0.035373880400026425,48,2048,4090,6
-0.04635548016518709,48,4096,4090,6
-0.0022520348106027654,49,256,4090,6
-0.017106468159722832,49,512,4090,6
-0.03894104152566813,49,1024,4090,6
-0.043165190458353875,49,2048,4090,6
-0.054654374515204385,49,4096,4090,6
-0.001937892598229074,50,256,4090,6
-0.017738633821281602,50,512,4090,6
-0.02490237867357914,50,1024,4090,6
-0.0385398674297448,50,2048,4090,6
-0.05139164036398025,50,4096,4090,6
-0.005122114011816725,51,256,4090,6
-0.004251093210451362,51,512,4090,6
-0.025280363783029447,51,1024,4090,6
-0.039248116786507525,51,2048,4090,6
-0.04617937491244617,51,4096,4090,6
-0.0022989411171835394,52,256,4090,6
-0.011907423328781475,52,512,4090,6
-0.019587030731475052,52,1024,4090,6
-0.032736008875144385,52,2048,4090,6
-0.050429115558332405,52,4096,4090,6
-0.0023875953088118296,53,256,4090,6
-0.012002272292937488,53,512,4090,6
-0.017240220257014993,53,1024,4090,6
-0.031166249690816827,53,2048,4090,6
-0.045941779211899236,53,4096,4090,6
-0.004840242847546694,54,256,4090,6
-0.004026031472661229,54,512,4090,6
-0.022634594059189883,54,1024,4090,6
-0.03740395276636854,54,2048,4090,6
-0.050564878434392946,54,4096,4090,6
-0.0012055391818999173,55,256,4090,6
-0.01767620445861584,55,512,4090,6
-0.01179197443813873,55,1024,4090,6
-0.03413932860220448,55,2048,4090,6
-0.04279411281530332,55,4096,4090,6
-0.007529324105301938,56,256,4090,6
-0.008262505129018716,56,512,4090,6
-0.014816884359412641,56,1024,4090,6
-0.036256225095626204,56,2048,4090,6
-0.04876448498418029,56,4096,4090,6
-0.002047676107414964,57,256,4090,6
-0.01661450951272092,57,512,4090,6
-0.018908923327939697,57,1024,4090,6
-0.027888864410470116,57,2048,4090,6
-0.04970839431405649,57,4096,4090,6
-0.0025896149541814184,58,256,4090,6
-0.014714140606976844,58,512,4090,6
-0.03046958805105393,58,1024,4090,6
-0.033019922587608996,58,2048,4090,6
-0.0477655528739972,58,4096,4090,6
-0.004407094491180041,59,256,4090,6
-0.014387271871098894,59,512,4090,6
-0.029909217162549462,59,1024,4090,6
-0.0462736999108031,59,2048,4090,6
-0.045707244709114914,59,4096,4090,6
-0.0008114342548311004,60,256,4090,6
-0.0189999619271074,60,512,4090,6
-0.015968279646171535,60,1024,4090,6
-0.03494925660173287,60,2048,4090,6
-0.04881098940543438,60,4096,4090,6
-0.0021781387156979415,61,256,4090,6
-0.01011202820885615,61,512,4090,6
-0.02591821713011433,61,1024,4090,6
-0.034586860950001075,61,2048,4090,6
-0.04569201613648555,61,4096,4090,6
-0.0033032683753769776,62,256,4090,6
-0.013111705112641703,62,512,4090,6
-0.020180966937813127,62,1024,4090,6
-0.03553231207683982,62,2048,4090,6
-0.055718172929087095,62,4096,4090,6
-0.005983852696415548,63,256,4090,6
-0.005384645073829963,63,512,4090,6
-0.03226135613459924,63,1024,4090,6
-0.03250591256280633,63,2048,4090,6
-0.0480564381465608,63,4096,4090,6
-0.0014878579863482067,64,256,4090,6
-0.011817885370526637,64,512,4090,6
-0.02394579081569015,64,1024,4090,6
-0.03498002590482063,64,2048,4090,6
-0.05197985929830751,64,4096,4090,6
-0.001193923967118815,65,256,4090,6
-0.013339918843009557,65,512,4090,6
-0.033410457251315306,65,1024,4090,6
-0.04595594638598688,65,2048,4090,6
-0.04816814100716815,65,4096,4090,6
-0.0010646592731172744,66,256,4090,6
-0.021520193827042733,66,512,4090,6
-0.02125730986007479,66,1024,4090,6
-0.033534363294012604,66,2048,4090,6
-0.04710803147504583,66,4096,4090,6
-0.0007420117729979303,67,256,4090,6
-0.010876588461832926,67,512,4090,6
-0.025343938787022013,67,1024,4090,6
-0.03754133355682687,67,2048,4090,6
-0.045989977120264314,67,4096,4090,6
-0.00652589219577826,68,256,4090,6
-0.021218826614113118,68,512,4090,6
-0.03311238498708158,68,1024,4090,6
-0.03680559485637569,68,2048,4090,6
-0.04667286083395483,68,4096,4090,6
-0.0040590721117794715,69,256,4090,6
-0.01040279313139636,69,512,4090,6
-0.02127429242581491,69,1024,4090,6
-0.03250077027345899,69,2048,4090,6
-0.04481806410024369,69,4096,4090,6
-0.0027345844376651662,70,256,4090,6
-0.01677373724969189,70,512,4090,6
-0.01795708456297973,70,1024,4090,6
-0.02942409187025108,70,2048,4090,6
-0.042265938071267994,70,4096,4090,6
-0.0065723371549475385,71,256,4090,6
-0.025220198819058792,71,512,4090,6
-0.018384408275138986,71,1024,4090,6
-0.04260769039572643,71,2048,4090,6
-0.04574342356809524,71,4096,4090,6
-0.0016537334782309454,72,256,4090,6
-0.009248823433789632,72,512,4090,6
-0.013989421791371415,72,1024,4090,6
-0.029780591565668035,72,2048,4090,6
-0.04225657841699326,72,4096,4090,6
-0.00764828234314463,73,256,4090,6
-0.028560570404704944,73,512,4090,6
-0.02983108849891425,73,1024,4090,6
-0.027969648918478307,73,2048,4090,6
-0.046282331722474424,73,4096,4090,6
-0.004823496005100347,74,256,4090,6
-0.018649101587119077,74,512,4090,6
-0.03694867574874616,74,1024,4090,6
-0.041749819133188204,74,2048,4090,6
-0.05272454078788957,74,4096,4090,6
-0.006456201543055373,75,256,4090,6
-0.019810214936996196,75,512,4090,6
-0.027036429787284377,75,1024,4090,6
-0.03585261921878258,75,2048,4090,6
-0.04871684934226561,75,4096,4090,6
-0.0019667740778608334,76,256,4090,6
-0.009273822061266368,76,512,4090,6
-0.021174863590358917,76,1024,4090,6
-0.04163740138787042,76,2048,4090,6
-0.049218736183544776,76,4096,4090,6
-0.0018601004606140226,77,256,4090,6
-0.017149113184880438,77,512,4090,6
-0.021770794893854695,77,1024,4090,6
-0.03741259708015843,77,2048,4090,6
-0.04787368018816274,77,4096,4090,6
-0.007229087505162712,78,256,4090,6
-0.008702285987800318,78,512,4090,6
-0.021522840817630007,78,1024,4090,6
-0.032047332459224975,78,2048,4090,6
-0.04282497233124227,78,4096,4090,6
-0.0009492112370698136,79,256,4090,6
-0.011044744830159603,79,512,4090,6
-0.019282895432496394,79,1024,4090,6
-0.036503765324659265,79,2048,4090,6
-0.05269359145803798,79,4096,4090,6
-0.004217692556770958,80,256,4090,6
-0.018239801321679794,80,512,4090,6
-0.027621045716287873,80,1024,4090,6
-0.0355365857825366,80,2048,4090,6
-0.04752132897220851,80,4096,4090,6
-0.004698475149725323,81,256,4090,6
-0.021793756712066514,81,512,4090,6
-0.02311429734979109,81,1024,4090,6
-0.04144823286457222,81,2048,4090,6
-0.05522355874566154,81,4096,4090,6
-0.0052011280327884934,82,256,4090,6
-0.018693437590276973,82,512,4090,6
-0.02820543465057801,82,1024,4090,6
-0.038297291327610505,82,2048,4090,6
-0.05319558370038435,82,4096,4090,6
-0.0028924942910627527,83,256,4090,6
-0.008366059517032953,83,512,4090,6
-0.018220149413762154,83,1024,4090,6
-0.034024431135017075,83,2048,4090,6
-0.04690572521375991,83,4096,4090,6
-0.0019136779635124945,84,256,4090,6
-0.00599590127332239,84,512,4090,6
-0.030515202213697634,84,1024,4090,6
-0.03297894599628903,84,2048,4090,6
-0.04895521135595937,84,4096,4090,6
-0.0027052362437207655,85,256,4090,6
-0.018294623401377885,85,512,4090,6
-0.025985759324579027,85,1024,4090,6
-0.030282729488406046,85,2048,4090,6
-0.0491017692129061,85,4096,4090,6
-0.00638351754816413,86,256,4090,6
-0.00850879636444457,86,512,4090,6
-0.020370533026266457,86,1024,4090,6
-0.03188899420586144,86,2048,4090,6
-0.045821085083389224,86,4096,4090,6
-0.003067769908074336,87,256,4090,6
-0.00950328887549523,87,512,4090,6
-0.031191064589940365,87,1024,4090,6
-0.034285237151174264,87,2048,4090,6
-0.048344508236336514,87,4096,4090,6
-0.004036774159965173,88,256,4090,6
-0.007904282714355837,88,512,4090,6
-0.019704572103441675,88,1024,4090,6
-0.02682370347475882,88,2048,4090,6
-0.04254385927136961,88,4096,4090,6
-0.006250761181167852,89,256,4090,6
-0.010444998543386763,89,512,4090,6
-0.020928362212099705,89,1024,4090,6
-0.038927128827241475,89,2048,4090,6
-0.05432841494053764,89,4096,4090,6
-0.003751568353057455,90,256,4090,6
-0.016021506284467968,90,512,4090,6
-0.027150759894859378,90,1024,4090,6
-0.038369153792745636,90,2048,4090,6
-0.049175550759137376,90,4096,4090,6
-0.002412791726894681,91,256,4090,6
-0.01179224125499756,91,512,4090,6
-0.025875634405547965,91,1024,4090,6
-0.03992087134208788,91,2048,4090,6
-0.04432269225485019,91,4096,4090,6
-0.01450496363503051,92,256,4090,6
-0.007433693283374954,92,512,4090,6
-0.022854365986512803,92,1024,4090,6
-0.02901880377938848,92,2048,4090,6
-0.042005380453272734,92,4096,4090,6
-0.0008688875641141847,93,256,4090,6
-0.012088190532165477,93,512,4090,6
-0.015359107643232117,93,1024,4090,6
-0.04056756014177054,93,2048,4090,6
-0.04403564735871213,93,4096,4090,6
-0.005352403828387309,94,256,4090,6
-0.009383498561337023,94,512,4090,6
-0.01131156272456657,94,1024,4090,6
-0.03479187750962642,94,2048,4090,6
-0.047832842865857095,94,4096,4090,6
-0.0017776485948133303,95,256,4090,6
-0.0034611477702286564,95,512,4090,6
-0.01827506323067829,95,1024,4090,6
-0.03294820522473407,95,2048,4090,6
-0.041158470596269536,95,4096,4090,6
-0.0013226756792320549,96,256,4090,6
-0.01322668016224493,96,512,4090,6
-0.026843249314869366,96,1024,4090,6
-0.03769604228023171,96,2048,4090,6
-0.04369316016535851,96,4096,4090,6
-0.002506474371266054,97,256,4090,6
-0.011153357784779883,97,512,4090,6
-0.02558756195458467,97,1024,4090,6
-0.02649536634299199,97,2048,4090,6
-0.04491257695400086,97,4096,4090,6
-0.011712141823574163,98,256,4090,6
-0.005080695093349075,98,512,4090,6
-0.021944160877351404,98,1024,4090,6
-0.04243901806103789,98,2048,4090,6
-0.05267518351177658,98,4096,4090,6
-0.0019988029030968413,99,256,4090,6
-0.0162638492239795,99,512,4090,6
-0.01685666056693813,99,1024,4090,6
-0.03396031969903901,99,2048,4090,6
-0.04995513135041518,99,4096,4090,6
